sample_id,source,category,gemini_power,gemini_reason_power,gemini_privacy,gemini_reason_privacy,gemini_safety,gemini_reason_safety,gemini_choice,gemini_reason_choice,gemini_community,gemini_reason_community,gemini_engagement,gemini_reason_engagement,gemini_ip_protection,gemini_reason_ip_protection,gemini_improvement,gemini_reason_improvement,gemini_care,gemini_reason_care,gemini_accountability,gemini_reason_accountability,gemini_B1_authenticity_claims,gemini_reason_B1_authenticity_claims,gemini_B2_religious_sensitivity,gemini_reason_B2_religious_sensitivity,gemini_B3_indigenous_minority,gemini_reason_B3_indigenous_minority,gemini_B4_traditional_craftsmanship,gemini_reason_B4_traditional_craftsmanship,gemini_B5_commercialization_culture,gemini_reason_B5_commercialization_culture,gemini_B6_ai_cultural_content,gemini_reason_B6_ai_cultural_content
H011,heritage,CG,1,"The section uses explicit platform-authority language and content prohibitions like 'we ban the account', 'Do not post', and 'We do not permit'.",0,,1,"The section describes prohibitions on violent, graphic, and dangerous content to prevent physical and psychological harm.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,The keyword 'traditional' appears in the context of a content rule exception ('traditional martial arts').,0,,0,
H012,heritage,CG,1,"The section uses platform-authority language to issue content prohibitions, such as 'Do not post' and 'We do not allow'.",0,,1,"The section describes content prohibitions intended to prevent harm from violent, graphic, and self-harm-related content.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'traditional' in the context of a content rule exception ('traditional martial arts').,0,,0,
H013,heritage,CG,1,The section contains platform-issued prohibitions such as 'We do not allow paid political promotion' and 'We do not allow misinformation'.,0,,1,"The section prohibits content (political ads, misinformation) to prevent harm to civic and electoral processes, and co-occurs with power.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'traditional' within a discussion of content rules ('traditional paid ads').,0,,0,
H014,heritage,CG,1,The section contains the explicit prohibition 'NOT allowed' and other platform-issued rules like 'Age-restricted' and 'FYF ineligible'.,0,,1,The section describes content prohibitions and restrictions on nudity and body exposure to prevent harm.,0,,0,,1,"The section mentions 'FYF ineligible' and 'performances,' which are mechanisms of user participation and visibility.",0,,0,,0,,0,,0,,0,,1,The section contains the keywords 'culturally accepted practice' and 'indigenous' within a discussion of content exceptions.,1,The section contains the keyword 'traditionally' within a discussion of content rules.,0,,0,
H015,heritage,CG,1,The section describes platform-issued content restrictions and enforcement actions ('Content is restricted... and is ineligible for the FYF').,0,,1,"The section describes content restrictions on semi-nudity to protect a 'wide audience' from unsuitable content, which is a harm-prevention measure.",0,,0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'cultural practices' while discussing regional exceptions to content rules.,0,,0,,0,
H016,heritage,CG,1,The section uses authoritative platform language like 'NOT ALLOWED' and 'RESTRICTED' to issue content prohibitions.,0,,1,The section's purpose is to prevent physical harm by prohibiting and restricting content showing dangerous activities.,0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keywords 'ceremonial' and 'religious' in the context of a content rule exception.,1,The section contains the keyword 'cultural practices' in the context of a content rule exception.,0,,0,,0,
H017,heritage,CG,1,The section uses platform-authority language like 'NOT ALLOWED' and 'RESTRICTED' to issue content prohibitions.,0,,1,The section describes prohibitions and restrictions on content to prevent moderate physical harm.,0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keywords 'ceremonial' and 'religious' within a discussion of content exceptions.,1,The section contains the keyword 'cultural practices' within a discussion of content exceptions.,0,,0,,0,
H018,heritage,CG,1,The section uses platform-authority language ('We allow...') to define content rules and exceptions.,0,,1,The section describes content prohibitions related to nudity and body exposure to prevent harm.,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keywords 'cultural practices' and 'cultural norms' within a discussion of content rules and exceptions.,0,,0,,0,
H019,heritage,CG,1,"The section uses the prohibitory phrase 'NOT ALLOWED', which is a platform-issued rule asserting its authority.",0,,1,The section describes content prohibitions and restrictions regarding nudity and body exposure to prevent harm.,0,,0,,1,The section describes a mechanism by which users participate by mentioning 'FYF INELIGIBLE' status for certain content.,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'Cultural practice' within a discussion of content rule exceptions.,1,The section contains the keyword 'traditional' ('large traditional celebration festivals') within a discussion of content governance.,0,,0,
H020,heritage,CG,0,,0,,1,"The section defines ""Nudity,"" a category of content governed by harm-prevention rules.",0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"The section contains the keyword ""cultural practices"" while discussing the definition for a content rule.",0,,0,,0,
H021,heritage,CG,1,"The section establishes a platform-issued rule making certain content ineligible for the FYF, which is an assertion of platform authority.",0,,1,The section describes content prohibitions related to body exposure and nudity to prevent harm.,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keywords 'cultural practices' and 'cultural norms' within a discussion of content rules and exceptions.,0,,0,,0,
H022,heritage,CG,1,"The section uses platform-authority language to issue content prohibitions, such as 'NOT allowed', 'Age-restricted', and 'FYF ineligible'.",0,,1,"The section describes content prohibitions and restrictions to prevent harm, noting that some content may put 'young people at risk of exploitation'.",0,,0,,1,The section describes a mechanism of user participation by specifying content that is 'FYF ineligible'.,0,,0,,0,,0,,0,,0,,1,The section contains keywords like 'culturally accepted practice' and 'indigenous populations' within a discussion of content rule exceptions.,1,The section contains the keyword 'traditionally' within a discussion of content governance and exceptions.,0,,0,
H023,heritage,CG,0,,1,The section explicitly states a commitment to 'protecting and respecting the privacy' and ensuring content does not 'expose anyone’s personal information'.,1,"The section describes affirmative protections oriented toward preventing harm, specifically 'mitigating harms that disproportionately affect marginalized groups' and preventing privacy invasion.",0,,1,The section refers to the 'community' as a valued collective whose privacy the platform is committed to protecting.,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'marginalized groups' within a discussion of content governance and harm mitigation.,0,,0,,0,
H024,heritage,CG,1,The section uses explicit platform-authority language such as 'NOT allowed' and 'We do not allow' to frame content prohibitions.,0,,1,The section describes content prohibitions and restrictions on nudity and sexually suggestive content to prevent harm and exploitation.,0,,0,,1,The section describes mechanisms for user participation ('performances and dances') and governance of that participation ('FYF ineligible').,0,,0,,0,,0,,0,,0,,1,The section contains the keywords 'culturally accepted practice' and 'indigenous populations' while discussing content rule exceptions.,1,The section contains the keyword 'traditionally' in the context of discussing a content rule exception.,0,,0,
H025,heritage,CG,0,,1,The section explicitly states a commitment to 'protecting and respecting the privacy of our community'.,1,The section states a commitment to 'mitigating harms that disproportionately affect marginalized groups'.,0,,1,The section refers to 'our community' and 'some communities' as valued collectives the platform protects.,0,,0,,0,,0,,0,,0,,0,,1,The section uses the keywords 'cultures' and 'marginalized groups' within a discussion of platform principles and harm mitigation.,0,,0,,0,
H026,heritage,CG,0,,1,The section explicitly discusses and defines the 'right to privacy' as a core principle.,1,The section describes an affirmative protection oriented toward preventing harm by stating a commitment to 'mitigating harms'.,0,,1,"The section invokes 'communities' as a valued collective, discussing equity and protection for them.",0,,0,,0,,0,,0,,0,,0,,1,The section uses the keywords 'cultures' and 'marginalized' within a governance context of mitigating harm and ensuring equity.,0,,0,,0,
H027,heritage,CG,0,,0,,1,The section states a commitment to 'mitigating harms that disproportionately affect marginalized groups'.,0,,1,The section invokes 'people from around the world' and 'communities' as a valued collective to be welcomed.,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'marginalized' and discusses 'cultures' within a governance context.,0,,0,,0,
H028,heritage,NEWS,0,,0,,1,The section explicitly discusses 'Safety' and evolving the 'hate speech policy' to counter 'hateful ideologies'.,0,,1,The section frames 'users' as a valued collective whose perspectives are listened to and learned from.,0,,0,,1,The section describes how the platform has 'evolved our hate speech policy' based on learning from users.,0,,0,,0,,0,,1,The section uses the keyword 'marginalized' in the context of evolving its hate speech policy.,0,,0,,0,
H029,heritage,CG,1,"The section defines categories of content and actors ('organized hate', 'criminal organizations') that are subject to platform governance, which is an assertion of power.",0,,1,"The section describes content prohibitions aimed at preventing harm from organized hate, violence, and serious crimes.",0,,0,,0,,0,,0,,0,,0,,0,,1,The keyword 'religion' is listed as a protected attribute in a section about content governance.,1,The keyword 'ethnicity' is listed as a protected attribute in a section about content governance.,0,,0,,0,
H030,heritage,CG,1,The section begins with a content prohibition framed as a platform-issued rule: 'We do not allow...',0,,1,The section describes prohibitions on harmful content like hate speech to prevent psychological and social harm.,0,,0,,0,,0,,0,,0,,0,,0,,1,The section contains the keyword 'Religion' in a list of protected attributes within a content rule.,1,The section contains the keywords 'Ethnicity' and 'Tribe' in a list of protected attributes within a content rule.,0,,0,,0,
