sample_id,category,gemini_power,gemini_reason_power,gemini_privacy,gemini_reason_privacy,gemini_safety,gemini_reason_safety,gemini_choice,gemini_reason_choice,gemini_community,gemini_reason_community,gemini_engagement,gemini_reason_engagement,gemini_ip_protection,gemini_reason_ip_protection,gemini_improvement,gemini_reason_improvement,gemini_care,gemini_reason_care,gemini_accountability,gemini_reason_accountability,gemini_B1_authenticity_claims,gemini_reason_B1_authenticity_claims,gemini_B2_religious_sensitivity,gemini_reason_B2_religious_sensitivity,gemini_B3_indigenous_minority,gemini_reason_B3_indigenous_minority,gemini_B4_traditional_craftsmanship,gemini_reason_B4_traditional_craftsmanship,gemini_B5_commercialization_culture,gemini_reason_B5_commercialization_culture,gemini_B6_ai_cultural_content,gemini_reason_B6_ai_cultural_content
S011,CG,1.0,The section asserts the platform's authority to ban accounts and report them to law enforcement.,0.0,,1.0,The section describes prohibitions against violent and hateful actors to prevent harm and protect users.,0.0,,0.0,,1.0,"The section discusses banning an account, which is a prohibition on platform participation.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S012,CG,1.0,"The text lists 'REQUIRED disclosures,' which asserts the platform's authority to govern commercial content.",0.0,,1.0,The text explicitly states a goal of protecting users from 'scams or financial exploitation'.,1.0,"The text describes a user-selectable option, the 'branded content toggle,' for making required disclosures.",0.0,,1.0,"The text outlines rules for specific types of participation, such as posting branded content and affiliate links.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S013,CG,1.0,"The text asserts the platform's authority by stating what content is ""NOT ALLOWED"" and that ""we don’t allow accounts"" that engage in certain behaviors.",0.0,,1.0,"The text prohibits deceptive behaviors and fake engagement to preserve a ""trustworthy space,"" which is a rule oriented toward preventing harm to the community.",0.0,,1.0,"The text invokes the idea of a collective by stating the platform's desire to be a ""trustworthy space where people around the world can create, connect, and learn.""",1.0,"The text explicitly discusses and prohibits ""fake engagement"" and the trade of services that ""artificially boost engagement.""",1.0,"The text explicitly prohibits content that violates someone else's ""copyrights, trademarks, or other IP rights.""",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S014,CG,0.0,,0.0,,1.0,"The section discusses preventing negative impacts on ""physical or psychological health"" and reducing the ""risk of harm.""",0.0,,1.0,"The text explicitly frames the platform as a place for people to ""feel part of a broader community.""",1.0,The section describes user participation through actions like finding connections and discussing complex topics.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S015,CG,1.0,The section asserts the platform's authority by stating that its rules apply to 'everyone and everything on our platform'.,0.0,,1.0,The section explicitly states the purpose of the guidelines is to 'keep TikTok a safe and positive experience'.,0.0,,1.0,The section invokes the idea of a collective social group by referencing 'Community Guidelines' intended to create a 'safe and positive experience'.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S016,CG,1.0,The section asserts the platform's authority to report threats to legal authorities and to close user accounts.,0.0,,1.0,"The section describes actions taken to protect the community from threats, violence, and extremism.",0.0,,1.0,"The section invokes ""our community"" as a collective group that the platform is acting to protect.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S017,NEWS,0.0,,0.0,,0.0,,0.0,,1.0,"The section explicitly states a goal to ""bring the community together"" through a shared event.",1.0,The section describes a telethon with performances as a form of participation and artistic expression on the platform.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S018,NEWS,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"The section describes user participation by 'streaming it live on TikTok' and lists types of interactive content like music, comedy, and dance.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S019,NEWS,0.0,,0.0,,1.0,The section explicitly mentions providing 'safety resources in our Safety Center' to keep the community positive.,1.0,The text refers to 'settings and controls' and encourages users to 'use the tools at your disposal'.,1.0,The text repeatedly invokes 'the community' as a valued collective whose needs are listened to.,0.0,,0.0,,1.0,The text frames this educational series as a 'step towards' improvement and part of 'ongoing efforts'.,1.0,The section directs users to seek help and information in the 'Safety Center' for resources.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S020,TOS,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"The section defines the services and documentation using legal terms like 'Commercial Computer Software,' which directly relates to their status as intellectual property.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S021,TOS,1.0,"The section asserts that binding arbitration is the authority that will 'finally resolve' any dispute, establishing a governance mechanism for claims.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"The section describes a formal mechanism (binding arbitration) for users to resolve claims and disputes with the platform, which is a form of accountability.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S022,TOS,1.0,The section asserts the platform's authority by stating users are 'prohibited from exercising any rights to monetize' and that the license it grants is 'revocable'.,0.0,,0.0,,0.0,,0.0,,1.0,The section discusses user participation through the creation of 'User Content' and the use of platform-provided assets like 'musical works'.,1.0,"The section grants a specific, revocable license for using services and discusses rights related to 'User Content', 'musical works', and 'sound recordings'.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S023,TRANS,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"The section describes an ""upcoming Transparency and Accountability Center,"" which represents an expansion of the platform's services.",0.0,,1.0,"The section describes a ""Transparency and Accountability Center"" where visitors can learn how the algorithm operates, which is a mechanism for transparency.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S024,TRANS,0.0,,0.0,,1.0,The section explicitly discusses efforts to 'build a safe platform' and references a 'Safety Center' and 'safety experts'.,0.0,,0.0,,0.0,,0.0,,1.0,The text describes shaping 'forward-looking policies' and planning 'ahead for the next set of issues' to evolve its approach.,1.0,The section points to the 'Safety Center' as a resource that includes information for users.,1.0,"The text describes a 'Content Advisory Council' of external experts that helps shape policies, serving as an oversight mechanism.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S025,VI,1.0,The section asserts the platform's authority by stating that the user's right to withdraw from a purchase is lost upon completion.,0.0,,0.0,,0.0,,0.0,,1.0,The section describes the purchase and use of Coins as a form of platform participation for rewarding others.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S026,VI,1.0,"The section asserts the platform's authority to terminate accounts, forfeit Coins, and void transfers for rule violations.",0.0,,0.0,,0.0,,0.0,,1.0,"The section discusses rules and restrictions on the use of Coins, which are a mechanism for platform interactivity.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S027,VI,1.0,The section asserts the platform's authority to terminate accounts and forfeit Diamonds for violating its rules.,0.0,,0.0,,0.0,,0.0,,1.0,"The section prohibits certain actions (transfer, sale) related to an interactive platform feature (Diamonds).",1.0,"The section explicitly defines that 'Diamonds do not constitute property,' directly addressing the ownership rights of a digital asset.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S028,VI,1.0,The section asserts the platform's authority to request user information 'at our sole discretion'.,1.0,"The section discusses the collection of personal information (name, state ID number) for identity verification.",1.0,The section describes rules to prevent financial harm by ensuring correct payment information and verifying identity.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S029,VI,1.0,The section asserts the platform's authority by stating participation is 'subject to the following terms and conditions'.,0.0,,1.0,"The section sets an age limit (18+) and requires parental permission, which are rules to preserve user well-being.",0.0,,0.0,,1.0,The section defines the eligibility rules for who can 'participate in the Program' related to Virtual Items.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S030,VI,1.0,The section asserts the platform's authority by stating that all sales of Gifts are final and that it does not offer refunds.,0.0,,0.0,,0.0,,0.0,,1.0,The section describes the mechanics of user participation through exchanging Coins for Gifts.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
